sales_agent,closed_opportunities,won_opportunities,lost_opportunities,win_rate
Hayden Neloms,152,107,45,70.39473684210526
Maureen Marcano,213,149,64,69.95305164319248
Wilburn Farren,79,55,24,69.62025316455697
Cecily Lampkin,160,107,53,66.875
Versie Hillebrand,264,176,88,66.66666666666666
Moses Frase,195,129,66,66.15384615384615
Boris Faz,153,101,52,66.01307189542483
James Ascencio,206,135,71,65.53398058252428
Corliss Cosme,229,150,79,65.50218340611353
Rosalina Dieter,110,72,38,65.45454545454545
Reed Clapper,237,155,82,65.40084388185655
Jonathan Berthelot,264,171,93,64.77272727272727
Rosie Papadopoulos,121,78,43,64.46280991735537
Kami Bicknell,272,174,98,63.970588235294116
Vicki Laflamme,347,221,126,63.68876080691642
Elease Gluck,126,80,46,63.49206349206349
Violet Mclelland,193,122,71,63.212435233160626
Darcel Schlecht,553,349,204,63.11030741410488
Marty Freudenburg,194,122,72,62.88659793814433
Cassey Cress,261,163,98,62.45210727969349
Kary Hendrixson,335,209,126,62.38805970149254
Anna Snelling,336,208,128,61.904761904761905
Zane Levy,261,161,100,61.68582375478927
Garret Kinder,123,75,48,60.97560975609756
Daniell Hammack,187,114,73,60.962566844919785
Niesha Huffines,175,105,70,60
Gladys Colclough,232,135,97,58.189655172413794
Donn Cantrell,275,158,117,57.45454545454546
Markita Hansen,227,130,97,57.268722466960355
Lajuana Vencill,231,127,104,54.97835497835498
