sales_agent,total_opportunities,closed_opportunities,won_opportunities,lost_opportunities,total_revenue,win_rate
Darcel Schlecht,747,553,349,204,1153214,63.11030741410488
Vicki Laflamme,451,347,221,126,478396,63.68876080691642
Kary Hendrixson,438,335,209,126,454298,62.38805970149254
Cassey Cress,346,261,163,98,450489,62.45210727969349
Donn Cantrell,275,275,158,117,445860,57.45454545454546
Reed Clapper,237,237,155,82,438336,65.40084388185655
Zane Levy,349,261,161,100,430068,61.68582375478927
Corliss Cosme,310,229,150,79,421036,65.50218340611353
James Ascencio,267,206,135,71,413533,65.53398058252428
Daniell Hammack,259,187,114,73,364229,60.962566844919785
Maureen Marcano,285,213,149,64,350395,69.95305164319248
Gladys Colclough,317,232,135,97,345674,58.189655172413794
Markita Hansen,306,227,130,97,328792,57.268722466960355
Kami Bicknell,362,272,174,98,316456,63.970588235294116
Marty Freudenburg,281,194,122,72,291195,62.88659793814433
Elease Gluck,177,126,80,46,289195,63.49206349206349
Jonathan Berthelot,345,264,171,93,284886,64.77272727272727
Anna Snelling,448,336,208,128,275056,61.904761904761905
Hayden Neloms,202,152,107,45,272111,70.39473684210526
Boris Faz,210,153,101,52,261631,66.01307189542483
Rosalina Dieter,160,110,72,38,235403,65.45454545454545
Rosie Papadopoulos,160,121,78,43,230169,64.46280991735537
Cecily Lampkin,203,160,107,53,229800,66.875
Moses Frase,260,195,129,66,207182,66.15384615384615
Garret Kinder,123,123,75,48,197773,60.97560975609756
Lajuana Vencill,311,231,127,104,194632,54.97835497835498
Versie Hillebrand,361,264,176,88,187693,66.66666666666666
Niesha Huffines,239,175,105,70,176961,60
Wilburn Farren,110,79,55,24,157640,69.62025316455697
Violet Mclelland,261,193,122,71,123431,63.212435233160626
