opportunity_id,sales_agent,product,account,deal_stage,engage_date,close_date,close_value,account_missing,is_closed
1C1I7A6R,Moses Frase,GTX Plus Basic,Cancity,Won,2016-10-20,2017-03-01,1054,FALSE,TRUE
Z063OYW0,Darcel Schlecht,GTX Pro,Isdom,Won,2016-10-25,2017-03-11,4514,FALSE,TRUE
EC4QE1BX,Darcel Schlecht,MG Special,Cancity,Won,2016-10-25,2017-03-07,50,FALSE,TRUE
MV1LWRNH,Moses Frase,GTX Basic,Codehow,Won,2016-10-25,2017-03-09,588,FALSE,TRUE
PE84CX4O,Zane Levy,GTX Basic,Hatfan,Won,2016-10-25,2017-03-02,517,FALSE,TRUE
ZNBS69V1,Anna Snelling,MG Special,Ron-tech,Won,2016-10-29,2017-03-01,49,FALSE,TRUE
9ME3374G,Vicki Laflamme,MG Special,J-Texon,Won,2016-10-30,2017-03-02,57,FALSE,TRUE
7GN8Q4LL,Markita Hansen,GTX Basic,Cheers,Won,2016-11-01,2017-03-07,601,FALSE,TRUE
OLK9LKZB,Niesha Huffines,GTX Plus Basic,Zumgoity,Won,2016-11-01,2017-03-03,1026,FALSE,TRUE
HAXMC4IX,James Ascencio,MG Advanced,Unknown Account,Engaging,2016-11-03,NA,NA,TRUE,FALSE
NL3JZH1Z,Anna Snelling,MG Special,Bioholding,Won,2016-11-04,2017-03-10,53,FALSE,TRUE
KWVA7VR1,Gladys Colclough,GTX Pro,Genco Pura Olive Oil Company,Lost,2016-11-04,2017-03-18,0,FALSE,TRUE
S8DX3XOU,James Ascencio,GTX Plus Pro,Sunnamplex,Won,2016-11-04,2017-03-10,5169,FALSE,TRUE
ENB2XD8G,Maureen Marcano,GTX Plus Pro,Sonron,Won,2016-11-04,2017-03-06,4631,FALSE,TRUE
09YE9QOV,Hayden Neloms,MG Advanced,Finjob,Won,2016-11-05,2017-03-11,3393,FALSE,TRUE
3F5MZNEH,Rosalina Dieter,MG Special,Sonron,Lost,2016-11-05,2017-03-03,0,FALSE,TRUE
M6WEJXC0,Rosalina Dieter,MG Advanced,Scotfind,Won,2016-11-05,2017-03-06,3284,FALSE,TRUE
6PTR7VBR,Versie Hillebrand,MG Special,Treequote,Won,2016-11-06,2017-03-05,61,FALSE,TRUE
902REDPA,Daniell Hammack,GTX Pro,Xx-zobam,Lost,2016-11-07,2017-03-09,0,FALSE,TRUE
5J9CMGDV,Elease Gluck,MG Special,Rantouch,Won,2016-11-07,2017-03-08,46,FALSE,TRUE
JJXRR8R6,James Ascencio,GTX Plus Pro,Fasehatice,Lost,2016-11-07,2017-03-17,0,FALSE,TRUE
WF4HA5NW,Moses Frase,MG Special,Ron-tech,Won,2016-11-07,2017-03-18,50,FALSE,TRUE
C5K2JP1H,Violet Mclelland,GTX Plus Basic,Vehement Capital Partners,Won,2016-11-07,2017-03-11,1014,FALSE,TRUE
ADRB8OMB,Darcel Schlecht,GTX Basic,Warephase,Won,2016-11-08,2017-03-26,561,FALSE,TRUE
SBCR987L,Kami Bicknell,GTX Basic,Zoomit,Won,2016-11-10,2017-03-23,590,FALSE,TRUE
UP409DSB,Maureen Marcano,MG Advanced,Ganjaflex,Engaging,2016-11-10,NA,NA,FALSE,FALSE
JSD4APT2,Versie Hillebrand,MG Special,Bioholding,Won,2016-11-10,2017-03-12,61,FALSE,TRUE
AO9Z2D17,Violet Mclelland,GTX Plus Pro,Xx-zobam,Lost,2016-11-10,2017-03-11,0,FALSE,TRUE
5M58DTJK,Elease Gluck,MG Special,Cheers,Won,2016-11-11,2017-03-05,58,FALSE,TRUE
KNY1OSAB,Maureen Marcano,GTX Pro,Labdrill,Won,2016-11-11,2017-03-14,4899,FALSE,TRUE
EAZDUUM9,Rosie Papadopoulos,MG Advanced,Zotware,Lost,2016-11-11,2017-03-01,0,FALSE,TRUE
2STUSOFE,Versie Hillebrand,MG Special,dambase,Won,2016-11-11,2017-03-03,67,FALSE,TRUE
JYKM0B00,James Ascencio,GTX Pro,Xx-holding,Won,2016-11-12,2017-03-06,4338,FALSE,TRUE
KU28360J,Kary Hendrixson,GTX Basic,Fasehatice,Won,2016-11-12,2017-03-19,578,FALSE,TRUE
N4SD17JR,Reed Clapper,GTX Basic,Acme Corporation,Won,2016-11-12,2017-03-01,556,FALSE,TRUE
E67P9Y3Q,Rosalina Dieter,GTX Basic,Green-Plus,Won,2016-11-12,2017-03-03,635,FALSE,TRUE
AT3MMVIS,Wilburn Farren,MG Advanced,The New York Inquirer,Won,2016-11-12,2017-03-07,3045,FALSE,TRUE
REJ11LRY,Garret Kinder,GTX Plus Basic,Mathtouch,Won,2016-11-13,2017-03-14,1233,FALSE,TRUE
ERV0CAZ7,Versie Hillebrand,MG Special,Zumgoity,Won,2016-11-13,2017-03-09,60,FALSE,TRUE
8SOQADK7,Anna Snelling,MG Special,Gogozoom,Lost,2016-11-14,2017-03-30,0,FALSE,TRUE
TCHFT25B,Darcel Schlecht,GTX Basic,Stanredtax,Lost,2016-11-14,2017-03-08,0,FALSE,TRUE
CZVN09WN,Darcel Schlecht,GTX Plus Basic,Konmatfix,Won,2016-11-14,2017-03-20,1170,FALSE,TRUE
EG7OFLFR,Kami Bicknell,GTX Basic,Unknown Account,Engaging,2016-11-14,NA,NA,TRUE,FALSE
30UQWUKB,Marty Freudenburg,GTX Plus Basic,Genco Pura Olive Oil Company,Won,2016-11-15,2017-03-20,1162,FALSE,TRUE
OLVI7L8M,Cassey Cress,GTX Pro,Unknown Account,Engaging,2016-11-16,NA,NA,TRUE,FALSE
97UN20YY,Darcel Schlecht,MG Advanced,Conecom,Won,2016-11-16,2017-03-14,3725,FALSE,TRUE
JXLERZ9O,Kary Hendrixson,GTX Basic,Golddex,Won,2016-11-16,2017-03-31,559,FALSE,TRUE
6ROE69W5,Rosalina Dieter,GTX Basic,Plexzap,Lost,2016-11-16,2017-03-11,0,FALSE,TRUE
0DFXFKT7,Darcel Schlecht,GTX Plus Basic,Rundofase,Lost,2016-11-17,2017-03-21,0,FALSE,TRUE
XKMZVSN4,James Ascencio,GTX Plus Pro,Sonron,Won,2016-11-17,2017-03-05,4667,FALSE,TRUE
IU8V0BZK,Marty Freudenburg,GTX Plus Basic,Finhigh,Won,2016-11-17,2017-03-17,903,FALSE,TRUE
XY42936P,Maureen Marcano,GTX Plus Basic,Finjob,Won,2016-11-17,2017-03-13,1180,FALSE,TRUE
XRN54MBM,Niesha Huffines,GTX Basic,Ron-tech,Won,2016-11-17,2017-03-05,487,FALSE,TRUE
2V848WZD,Lajuana Vencill,MG Advanced,Stanredtax,Won,2016-11-18,2017-03-04,3180,FALSE,TRUE
ONYNTUCG,Darcel Schlecht,GTX Pro,Funholding,Lost,2016-11-19,2017-03-17,0,FALSE,TRUE
HIOHX80Y,Darcel Schlecht,MG Advanced,Gogozoom,Won,2016-11-19,2017-03-18,3563,FALSE,TRUE
F5U1ACDD,Kami Bicknell,GTX Plus Basic,Unknown Account,Engaging,2016-11-19,NA,NA,TRUE,FALSE
LPKT07PV,Boris Faz,GTX Pro,Opentech,Won,2016-11-20,2017-03-23,4704,FALSE,TRUE
WPB2SLIG,Donn Cantrell,GTX Plus Pro,Silis,Won,2016-11-20,2017-03-14,5585,FALSE,TRUE
XUSUEAV7,Elease Gluck,GTK 500,Zoomit,Won,2016-11-20,2017-03-09,25897,FALSE,TRUE
ZZY4516R,Hayden Neloms,MG Advanced,Unknown Account,Engaging,2016-11-20,NA,NA,TRUE,FALSE
3TYPII47,Kami Bicknell,GTX Plus Basic,Goodsilron,Won,2016-11-20,2017-03-03,1207,FALSE,TRUE
7WAX8Z8O,Lajuana Vencill,MG Advanced,Cancity,Lost,2016-11-20,2017-03-08,0,FALSE,TRUE
MYDUMR3R,Lajuana Vencill,GTX Basic,Rangreen,Won,2016-11-20,2017-03-04,559,FALSE,TRUE
0DRC1U9Q,Maureen Marcano,GTX Basic,Green-Plus,Engaging,2016-11-20,NA,NA,FALSE,FALSE
37JFKD4I,Niesha Huffines,GTX Plus Basic,dambase,Won,2016-11-20,2017-03-09,1033,FALSE,TRUE
25YKPHX8,Donn Cantrell,GTX Basic,Kan-code,Won,2016-11-21,2017-03-21,462,FALSE,TRUE
BXXMA7F3,Hayden Neloms,MG Advanced,Nam-zim,Lost,2016-11-21,2017-03-01,0,FALSE,TRUE
GIUUTBXM,Kary Hendrixson,GTX Pro,Y-corporation,Won,2016-11-21,2017-03-14,5539,FALSE,TRUE
MFX2LR1Q,Lajuana Vencill,MG Advanced,Ron-tech,Won,2016-11-21,2017-03-15,3573,FALSE,TRUE
DUHE9FLY,Marty Freudenburg,GTX Pro,Conecom,Won,2016-11-21,2017-03-01,4926,FALSE,TRUE
96BSG7R1,Zane Levy,GTX Plus Basic,Sunnamplex,Lost,2016-11-21,2017-03-17,0,FALSE,TRUE
7FQMSWIX,Corliss Cosme,MG Special,Bioplex,Won,2016-11-22,2017-03-04,62,FALSE,TRUE
C20AVXN7,Darcel Schlecht,GTX Pro,Gogozoom,Won,2016-11-22,2017-03-14,4359,FALSE,TRUE
GS1QVWCR,Kami Bicknell,GTX Basic,Plusstrip,Won,2016-11-22,2017-03-31,566,FALSE,TRUE
ZWH8FXY3,Marty Freudenburg,GTX Basic,Toughzap,Won,2016-11-22,2017-03-03,508,FALSE,TRUE
2U94Y3Q9,Rosie Papadopoulos,MG Advanced,Vehement Capital Partners,Lost,2016-11-22,2017-03-20,0,FALSE,TRUE
AAR79NOO,Versie Hillebrand,MG Special,Codehow,Won,2016-11-22,2017-03-11,51,FALSE,TRUE
B6B0PNR2,Vicki Laflamme,GTX Pro,Dalttechnology,Won,2016-11-22,2017-03-05,4899,FALSE,TRUE
M7I5O9YU,Corliss Cosme,GTX Basic,Cheers,Engaging,2016-11-23,NA,NA,FALSE,FALSE
LXZA2OSZ,Corliss Cosme,GTX Plus Pro,Ontomedia,Won,2016-11-23,2017-03-03,5790,FALSE,TRUE
N0ONCYVZ,Donn Cantrell,MG Special,Kinnamplus,Lost,2016-11-23,2017-03-30,0,FALSE,TRUE
GYB4W2AU,Elease Gluck,MG Advanced,Unknown Account,Engaging,2016-11-23,NA,NA,TRUE,FALSE
513DPFX5,Gladys Colclough,GTX Pro,Codehow,Won,2016-11-23,2017-03-03,4438,FALSE,TRUE
RU023K5W,Gladys Colclough,MG Advanced,Finhigh,Won,2016-11-23,2017-03-17,2972,FALSE,TRUE
VDIU10RV,Markita Hansen,MG Special,Lexiqvolax,Engaging,2016-11-23,NA,NA,FALSE,FALSE
BZCBQ514,Markita Hansen,GTX Basic,Y-corporation,Won,2016-11-23,2017-03-01,523,FALSE,TRUE
HEE6P0QH,Anna Snelling,MG Advanced,Statholdings,Won,2016-11-24,2017-03-25,3647,FALSE,TRUE
L8CHRJ2B,Cassey Cress,MG Advanced,Umbrella Corporation,Won,2016-11-24,2017-03-01,4200,FALSE,TRUE
579LZ3F9,Daniell Hammack,GTX Plus Basic,J-Texon,Engaging,2016-11-24,NA,NA,FALSE,FALSE
SU8JNMP4,Kami Bicknell,GTX Plus Basic,Bubba Gump,Engaging,2016-11-24,NA,NA,FALSE,FALSE
V2X2KMUR,Kami Bicknell,GTX Plus Basic,Faxquote,Won,2016-11-24,2017-03-28,1059,FALSE,TRUE
AJIPJP75,Marty Freudenburg,GTX Plus Basic,Codehow,Lost,2016-11-24,2017-03-05,0,FALSE,TRUE
NYVA2G6U,Versie Hillebrand,MG Special,Dontechi,Won,2016-11-24,2017-03-02,57,FALSE,TRUE
FF45BXTL,Vicki Laflamme,MG Advanced,Konex,Won,2016-11-24,2017-03-27,3671,FALSE,TRUE
TTA9LYBS,Anna Snelling,MG Special,Treequote,Won,2016-11-25,2017-03-01,58,FALSE,TRUE
PAGZQH8L,Cecily Lampkin,MG Advanced,Treequote,Won,2016-11-25,2017-03-06,3956,FALSE,TRUE
